Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
5/27/2013,9767,9767,21.533,"21,533",17216,2043,0,0
5/28/2013,5215,14982,8.78,"30,313",19816,2598,0,0
5/29/2013,10981,25963,21.898,"52,211",21986,2167,0,0
5/30/2013,9850,35813,20.321,"72,532",23985,1998,0,0
5/31/2013,9253,45066,20.243,"92,775",25615,1630,0,0
6/1/2013,9852,54918,26.347,"119,122",26756,1141,0,0
6/2/2013,17590,72508,52.143,"171,266",28253,1496,4723,289
6/3/2013,8599,81107,18.907,"190,173",29616,1363,1160,221
6/4/2013,17589,98696,48.666,"238,839",31095,1479,2922,394
6/5/2013,17433,116129,44.917,"283,757",32620,1530,2821,279
6/6/2013,13732,129861,30.987,"314,743",33954,1334,1872,210
6/7/2013,1393,131254,2.065,"316,809",34449,495,66,11
6/8/2013,19899,151153,54.665,"371,473",35233,784,5013,230
6/9/2013,23236,174389,71.604,"443,077",36295,1062,5772,275
6/10/2013,4504,178893,10.138,"453,215",37086,791,290,82
6/11/2013,14638,193531,34.63,"487,845",37894,808,1836,273
6/12/2013,18960,212491,45.714,"533,559",38805,911,2767,316
6/13/2013,8782,221273,15.075,"548,634",39442,637,701,119
6/14/2013,16423,237696,33.98,"582,614",40078,636,2268,211
6/15/2013,27276,264972,72.792,"655,406",40702,624,6107,319
6/16/2013,23610,288582,59.573,"714,979",41541,839,4413,314
6/17/2013,21278,309860,43.897,"758,876",42564,1023,2378,530
6/18/2013,14826,324686,27.67,"786,546",43394,830,1236,277
6/19/2013,26267,350953,54.405,"840,951",44223,829,2678,607
6/20/2013,28994,379947,59.935,"900,886",45024,801,2814,421
6/21/2013,30660,410607,64.872,"965,759",45815,791,3465,408
6/22/2013,31885,442492,80.433,"1,046,191",46448,633,5902,383
6/23/2013,30653,473145,76.45,"1,122,641",47203,755,4959,279
6/24/2013,26636,499781,50.664,"1,173,305",48135,932,1844,386
6/25/2013,30426,530207,56.075,"1,229,380",48915,780,1937,343
6/26/2013,32322,562529,59.663,"1,289,043",49665,750,2000,301
6/27/2013,28094,590623,55.26,"1,344,304",50355,690,1680,223
6/28/2013,30595,621218,58.037,"1,402,340",51029,674,2268,291
6/29/2013,32947,654165,77.226,"1,479,567",51505,476,4895,296
6/30/2013,27285,681450,61.052,"1,540,619",52125,620,3592,178
7/1/2013,20151,701601,36.168,"1,576,787",52722,597,846,167
7/2/2013,26682,728283,48.733,"1,625,520",53310,588,1435,219
7/3/2013,25509,753792,46.016,"1,671,537",53748,438,1419,189
7/4/2013,26004,779796,63.674,"1,735,210",54073,325,4219,257
7/5/2013,25541,805337,53.419,"1,788,629",54507,434,2803,215
7/6/2013,23697,829034,53.761,"1,842,391",54843,336,3178,172
7/7/2013,23688,852722,50.634,"1,893,025",55284,441,2703,186
7/8/2013,26063,878785,49.831,"1,942,856",55971,687,1453,321
7/9/2013,30929,909714,55.499,"1,998,355",56610,639,1379,287
7/10/2013,30705,940419,55.948,"2,054,304",57194,584,1435,223
7/11/2013,29689,970108,56.393,"2,110,697",57725,531,1478,196
7/12/2013,22817,992925,39.97,"2,150,667",58133,408,1096,118
7/13/2013,30132,1023057,64.833,"2,215,501",58495,362,3285,213
7/14/2013,33545,1056602,75.02,"2,290,520",58954,459,3681,224
7/15/2013,32565,1089167,57.755,"2,348,275",59593,639,1382,273
7/16/2013,34757,1123924,61.856,"2,410,132",60129,536,1288,251
7/17/2013,35172,1159096,60.698,"2,470,829",60619,490,1303,201
7/18/2013,33222,1192318,56.228,"2,527,057",61008,389,1094,143
7/19/2013,30667,1222985,52.784,"2,579,841",61366,358,1389,164
7/20/2013,29145,1252130,58.799,"2,638,640",61652,286,2811,169
7/21/2013,34694,1286824,76.31,"2,714,950",62074,422,3502,191
7/22/2013,29787,1316611,50.145,"2,765,095",62577,503,1005,184
7/23/2013,37296,1353907,65.911,"2,831,006",63026,449,1390,220
7/24/2013,40699,1394606,74.469,"2,905,475",63466,440,1708,211
7/25/2013,36207,1430813,62.188,"2,967,663",63822,356,1163,144
7/26/2013,39499,1470312,72.71,"3,040,373",64182,360,2073,176
